   	id	num	rop	 +	 -	 *	 /	 %	 =	->	 !	 .	 ,	 &	++	--	+=	-=	 (	 )	 {	 }	 [	 ]	 :	 ;	 "	 '	 #	 |	 \	if	else	while	do	for	include	define	typedef	struct	int	char	float	double	void	return	case	then	true	false	||	&&	eof	 $	
  0	s 1	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	s 2	e	e	e	e	e	e	e	e	e	e	s 3	e	s 4	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	
  1	e	e	e	e	e	e	e	e	s 7	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	
  2	s 1	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	s 2	e	e	e	e	e	e	e	e	e	e	s 3	e	s 4	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	
  3	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	s 9	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	
  4	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	s10	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	
  5	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	s11	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	a	
  6	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	r 1	e	e	e	r 1	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	r 1	
  7	s12	s13	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	s14	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	
  8	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	s18	e	e	e	s11	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	
  9	s12	s13	e	e	e	e	e	e	e	e	s19	e	e	e	e	e	e	e	s20	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	s21	s22	e	e	e	e	
 10	s12	s13	e	e	e	e	e	e	e	e	s19	e	e	e	e	e	e	e	s20	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	s21	s22	e	e	e	e	
 11	s 1	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	s 2	e	e	e	e	e	e	e	e	e	e	s 3	e	s 4	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	
 12	e	e	r13	r13	r13	r13	r13	e	e	e	e	e	e	e	e	e	e	e	e	r13	e	r13	e	e	e	r13	e	e	e	e	e	e	r13	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	r13	r13	e	r13	
